airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
5,2,1,0,2,5,0,-1.399220716,1,-0.662144088
5,2,1,0,2,5,0,-1.388069881,1,-0.662144088
2,2,0,0,1,5,0,-1.410371551,1,-0.662187925
1,2,3,1,1,5,0,0.56332625,1,-0.662407114
2,2,0,1,3,5,0,-0.075059056,1,-0.662187925
0,2,0,1,1,5,0,1.969725318,1,-0.390569739
5,2,3,0,4,5,0,-1.388069881,1,-0.362952009
0,2,0,1,1,5,0,1.911183434,1,-0.353746099
5,2,4,1,2,5,0,0.784949096,1,-0.291584287
0,2,3,1,4,5,0,2.074264396,1,-0.201848582
5,2,2,1,3,5,0,-1.015910762,1,-0.14889268
0,2,4,1,4,5,0,1.980876153,1,-0.132804256
5,2,3,1,1,5,0,0.458787171,1,-0.079848354
4,2,3,0,4,5,0,-1.388069881,2,-0.662231763
3,2,4,0,4,5,0,-1.399220716,2,-0.662144088
4,2,0,0,1,5,0,-1.388069881,2,-0.662144088
0,2,3,0,3,5,0,-1.434067075,2,-0.662144088
1,2,3,1,0,5,0,0.401639142,2,-0.597965743
5,2,3,1,1,5,0,0.54102458,2,-0.390569739
3,2,2,1,3,5,0,-1.178991724,2,-0.405299196
5,2,0,1,2,5,0,-0.737139886,2,-0.369834523
2,2,1,1,3,5,0,-0.725989051,2,-0.260503381
2,2,2,1,4,5,0,-0.423522651,2,-0.171995131
5,2,2,1,3,5,0,-1.015910762,2,-0.075245399
5,2,0,1,2,5,0,-0.806832605,2,-0.05455402
0,2,2,1,2,5,0,1.88748791,2,0.005284395
2,2,1,1,3,5,0,-0.482064535,2,0.097387334
5,2,1,1,2,5,0,2.131412426,2,0.150299398
2,2,1,0,2,5,0,-1.388069881,3,-0.662187925
3,2,1,0,2,5,0,-1.399220716,3,-0.662144088
3,2,1,0,1,5,0,-1.364374356,3,-0.662144088
4,2,3,1,0,5,0,0.134019101,3,-0.648335222
0,2,3,0,3,5,0,-1.434067075,3,-0.625320447
3,2,2,1,4,5,0,-0.272986378,3,-0.372157919
5,2,2,1,2,5,0,1.597566199,3,-0.335334279
2,2,1,1,2,5,0,-1.004759927,3,-0.350282923
